     shots,    errors,  discards, seconds,decoder,strong_id,json_metadata,custom_counts
      8053,      1006,         0,   0.131,chromobius,dc8a8b0b38a83885b96b6529a9f5f5dea87ed11e5e5890cb772ab86084758d92,"{""c"":""midout_color_code_488_X"",""d"":3,""gates"":""all"",""noise"":""uniform"",""p"":0.001,""q"":9,""r"":12}",
      5802,      1019,         0,   0.068,chromobius,06ac46fd8ef9b844361b0a124023d7120d0c67ca82275995ddbf94ca8e468c8d,"{""c"":""midout_color_code_488_Z"",""d"":3,""gates"":""all"",""noise"":""uniform"",""p"":0.001,""q"":9,""r"":12}",
      5802,      1617,         0,   0.199,chromobius,06ac46fd8ef9b844361b0a124023d7120d0c67ca82275995ddbf94ca8e468c8d*dc8a8b0b38a83885b96b6529a9f5f5dea87ed11e5e5890cb772ab86084758d92,"{""c"":""midout_color_code_488_XZ"",""d"":3,""gates"":""all"",""noise"":""uniform"",""p"":0.001,""q"":9,""r"":12}",
      6936,      1017,         0,   0.734,chromobius,d857db1f0debac8705a37faf9ca51802434e633b05931b885d7bb4b5d6806348,"{""c"":""midout_color_code_488_X"",""d"":5,""gates"":""all"",""noise"":""uniform"",""p"":0.001,""q"":21,""r"":20}",
     10813,      1064,         0,   0.392,chromobius,26658b46f4d6a5781df30e418ab964678b33635e4e6cdde7d7c631edd3028139,"{""c"":""midout_color_code_488_Z"",""d"":5,""gates"":""all"",""noise"":""uniform"",""p"":0.001,""q"":21,""r"":20}",
      6936,      1599,         0,    1.13,chromobius,d857db1f0debac8705a37faf9ca51802434e633b05931b885d7bb4b5d6806348*26658b46f4d6a5781df30e418ab964678b33635e4e6cdde7d7c631edd3028139,"{""c"":""midout_color_code_488_XZ"",""d"":5,""gates"":""all"",""noise"":""uniform"",""p"":0.001,""q"":21,""r"":20}",
     14735,      1113,         0,    1.77,chromobius,731c367d069afbafeff01aa21ddd44bdb90bd0df09f60b50c04ff778da7e5356,"{""c"":""midout_color_code_488_X"",""d"":7,""gates"":""all"",""noise"":""uniform"",""p"":0.001,""q"":37,""r"":28}",
     13426,      1032,         0,    1.44,chromobius,bba7a1eaa8e80184a2256ab3034a6f35c82f2beb9105984dcd00186efa04cd6b,"{""c"":""midout_color_code_488_Z"",""d"":7,""gates"":""all"",""noise"":""uniform"",""p"":0.001,""q"":37,""r"":28}",
     13426,      1968,         0,    3.21,chromobius,bba7a1eaa8e80184a2256ab3034a6f35c82f2beb9105984dcd00186efa04cd6b*731c367d069afbafeff01aa21ddd44bdb90bd0df09f60b50c04ff778da7e5356,"{""c"":""midout_color_code_488_XZ"",""d"":7,""gates"":""all"",""noise"":""uniform"",""p"":0.001,""q"":37,""r"":28}",
      8875,      1000,         0,    3.02,chromobius,870453b363ca6ebda36742c661a40d79fb8ba27a61940ed187b4da9d394a7e9d,"{""c"":""midout_color_code_488_X"",""d"":9,""gates"":""all"",""noise"":""uniform"",""p"":0.001,""q"":57,""r"":36}",
      9200,      1002,         0,    3.35,chromobius,5dce626311a7429b8d8e5909ff8d311f581e4ad1e06a9b12f0c6dd947d8e0b8b,"{""c"":""midout_color_code_488_Z"",""d"":9,""gates"":""all"",""noise"":""uniform"",""p"":0.001,""q"":57,""r"":36}",
