     shots,    errors,  discards, seconds,decoder,strong_id,json_metadata,custom_counts
   7995885,     94709,         0,    1.00,chromobius,af36d35ccbe0e5837ccccbde00140466e0f1becf556f561eb60b2e1da82c1918,"{""c"":""midout_color_code_X"",""d"":3,""noise"":""uniform"",""p"":0.0001,""q"":9,""r"":12}","{""detection_events"":898089}"
   4529752,    106136,         0,    1.00,chromobius,5d6e70e95a38c9fd54f242b8f4c560de4acdb8b240dd5603576c4a070081a121,"{""c"":""midout_color_code_X"",""d"":3,""noise"":""uniform"",""p"":0.0002,""q"":9,""r"":12}","{""detection_events"":1015781}"
   3231013,    112601,         0,    1.00,chromobius,696dfa9a175eb1493f0b74d9d6b85731bacc82ad9dd5f024882cbffdaa821f9b,"{""c"":""midout_color_code_X"",""d"":3,""noise"":""uniform"",""p"":0.0003,""q"":9,""r"":12}","{""detection_events"":1084999}"
   2012061,    113866,         0,    1.00,chromobius,e9f0f33a439dcd2b53a6f83726e8b4a43d68dc6ff7c58319f8ece54e1374a476,"{""c"":""midout_color_code_X"",""d"":3,""noise"":""uniform"",""p"":0.0005,""q"":9,""r"":12}","{""detection_events"":1121147}"
   1427997,    110781,         0,    1.00,chromobius,693561707dc8983e9efd58bfe211f571225893675d49ec3907a72b4febd047b0,"{""c"":""midout_color_code_X"",""d"":3,""noise"":""uniform"",""p"":0.0007,""q"":9,""r"":12}","{""detection_events"":1108553}"
   1011219,    108764,         0,    1.00,chromobius,5941daa39769602f58e8a5a26db1483c02f9f0eb60657e92dfc6a04a5f7bca1c,"{""c"":""midout_color_code_X"",""d"":3,""noise"":""uniform"",""p"":0.001,""q"":9,""r"":12}","{""detection_events"":1116497}"
    508437,     98393,         0,    1.00,chromobius,9dac657bb25516d2de894296a8ae0ebed72ed270d5c3201aec39c532d379902f,"{""c"":""midout_color_code_X"",""d"":3,""noise"":""uniform"",""p"":0.002,""q"":9,""r"":12}","{""detection_events"":1093797}"
    346643,     90492,         0,    1.00,chromobius,9bac7b9b0eda977c9fe796c5d4c24a7e02989572e16ee37942a6d551e920f147,"{""c"":""midout_color_code_X"",""d"":3,""noise"":""uniform"",""p"":0.003,""q"":9,""r"":12}","{""detection_events"":1087980}"
    210224,     75952,         0,    1.00,chromobius,38461602ef05b83e72d1b72885adc03c933cbe7398f60e4f8d231e390ee3ee70,"{""c"":""midout_color_code_X"",""d"":3,""noise"":""uniform"",""p"":0.005,""q"":9,""r"":12}","{""detection_events"":1047855}"
    153197,     63975,         0,    1.00,chromobius,53617749c1c839b22e1885431076f0ce528eceea27167918ef58e4aa49af3194,"{""c"":""midout_color_code_X"",""d"":3,""noise"":""uniform"",""p"":0.007,""q"":9,""r"":12}","{""detection_events"":1022101}"
    107381,     49928,         0,    1.00,chromobius,d6334bf471a995dffe4cecbe2ce3fe4f501fd212030c1c2b15fa6cd275728781,"{""c"":""midout_color_code_X"",""d"":3,""noise"":""uniform"",""p"":0.01,""q"":9,""r"":12}","{""detection_events"":957569}"
    970235,       247,         0,    1.00,chromobius,be5f4c62c5875c6a2d328d8a9f4cdc0aab77e8bc6378576ce92086c69038c56e,"{""c"":""midout_color_code_X"",""d"":5,""noise"":""uniform"",""p"":0.0001,""q"":23,""r"":20}","{""detection_events"":589907}"
    503948,       520,         0,    1.00,chromobius,099019e5ead9ff279160d781bd385aa023e4a75e78e97c5593c3f94abfc1af30,"{""c"":""midout_color_code_X"",""d"":5,""noise"":""uniform"",""p"":0.0002,""q"":23,""r"":20}","{""detection_events"":609607}"
    329811,       770,         0,    1.00,chromobius,79a18889c43c971dce2d0133b36ea001daf151825510f320e9517f9d7b1bab09,"{""c"":""midout_color_code_X"",""d"":5,""noise"":""uniform"",""p"":0.0003,""q"":23,""r"":20}","{""detection_events"":597646}"
    195326,      1238,         0,    1.00,chromobius,ab1e15c14892bfb374ff97b15ff8647bd2507df3aa5116d63402765ca44c7435,"{""c"":""midout_color_code_X"",""d"":5,""noise"":""uniform"",""p"":0.0005,""q"":23,""r"":20}","{""detection_events"":588111}"
    138992,      1719,         0,    1.00,chromobius,b024405c77f6c81714df8e1c0c407ddd87b69b335a87c8b23e96ef29351d4433,"{""c"":""midout_color_code_X"",""d"":5,""noise"":""uniform"",""p"":0.0007,""q"":23,""r"":20}","{""detection_events"":580219}"
     96340,      2316,         0,    1.00,chromobius,e79f1016bc2e92f8ab2276b1931c4c5aaad31c52443d5db3750293f3a5105bf1,"{""c"":""midout_color_code_X"",""d"":5,""noise"":""uniform"",""p"":0.001,""q"":23,""r"":20}","{""detection_events"":571454}"
     46148,      3983,         0,    1.00,chromobius,cd832936d53fe50d8bdcf04344b731768ef2be1358133d7a534a25001212d24f,"{""c"":""midout_color_code_X"",""d"":5,""noise"":""uniform"",""p"":0.002,""q"":23,""r"":20}","{""detection_events"":532431}"
     29838,      5119,         0,    1.00,chromobius,bcc5a04c61b5ebcd5d80923a46a0024d894dcc7b9633062eaa4f9c6c4e68f9ae,"{""c"":""midout_color_code_X"",""d"":5,""noise"":""uniform"",""p"":0.003,""q"":23,""r"":20}","{""detection_events"":503445}"
     17176,      5568,         0,    1.01,chromobius,5179e3ae74bfeeef8b848db4584dff4a6a716fe287c16c79c52fb7a6f4ea5277,"{""c"":""midout_color_code_X"",""d"":5,""noise"":""uniform"",""p"":0.005,""q"":23,""r"":20}","{""detection_events"":455312}"
     12307,      5133,         0,    1.00,chromobius,69ddb3bbb41b36853279cf810bd2a77055d7f25b34593da9b18f676df632a9c3,"{""c"":""midout_color_code_X"",""d"":5,""noise"":""uniform"",""p"":0.007,""q"":23,""r"":20}","{""detection_events"":434851}"
